emoji,article,views,rank,year,month,day,date
☠️,DMX_(rapper),542702,3,2021,4,4,2021-04-04
🎥,James_Hong_filmography,464499,3,2021,4,5,2021-04-05
☠️,Paul_Ritter_(actor),633695,3,2021,4,6,2021-04-06
📺,Ernest_Hemingway,251190,3,2021,4,7,2021-04-07
☠️,Phillip_Adams_(American_football),499260,3,2021,4,8,2021-04-08
☠️,"Prince_Philip,_Duke_of_Edinburgh",3872125,2,2021,4,9,2021-04-09
☠️,"Prince_Philip,_Duke_of_Edinburgh",1597550,2,2021,4,10,2021-04-10
🤼‍♂️,WrestleMania_37,769066,3,2021,4,11,2021-04-11
🤼‍♂️,WrestleMania_37,698826,3,2021,4,12,2021-04-12
🎥,Brenda_Song,511485,3,2021,4,13,2021-04-13
☠️,Bernie_Madoff,568407,3,2021,4,14,2021-04-14
☠️,Bernie_Madoff,246830,3,2021,4,15,2021-04-15
☠️,Helen_McCrory,1720276,2,2021,4,16,2021-04-16
☠️,Vivek_(actor),1104072,3,2021,4,17,2021-04-17
🤼‍♂️,Ben_Askren,479430,3,2021,4,18,2021-04-18
⚽,European_Super_League_(association_football),391944,3,2021,4,19,2021-04-19
⚖️,Derek_Chauvin,816631,3,2021,4,20,2021-04-20
⚖️,Derek_Chauvin,963135,3,2021,4,21,2021-04-21
🌍,Earth_Day,216287,3,2021,4,22,2021-04-22
☠️,Shock_G,508545,3,2021,4,23,2021-04-23
📺,Mortal_Kombat_(2021_film),742062,3,2021,4,24,2021-04-24
📺,Mortal_Kombat_(2021_film),546424,3,2021,4,25,2021-04-25
🏆,93rd_Academy_Awards,1060002,3,2021,4,26,2021-04-26
📺,Nomadland_(film),197245,3,2021,4,27,2021-04-27
☠️,Michael_Collins_(astronaut),203825,3,2021,4,28,2021-04-28
🇺🇸,Tim_Scott,203283,3,2021,4,29,2021-04-29
☠️,Rohit_Sardana,1172730,3,2021,4,30,2021-04-30
🏈,2021_NFL_Draft,502160,3,2021,5,1,2021-05-01
🗳️,2016_West_Bengal_Legislative_Assembly_election,412823,3,2021,5,2,2021-05-02
